timestamp,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,dust,uv_index,temperature,relative_humidity,surface_pressure,wind_speed,location,aqi,aqi_category,is_hazard
2023-01-01T00:00,234.7,163.4,1358.0,81.1,37.7,0.0,2.0,0.0,11.9,95,1016.2,7.5,dhaka,214,Very Unhealthy,True
2023-01-01T01:00,225.8,157.9,1343.0,81.6,33.8,0.0,2.0,0.05,12.7,95,1017.0,5.9,dhaka,208,Very Unhealthy,True
2023-01-01T02:00,219.3,153.2,1319.0,82.0,28.4,0.0,2.0,0.3,14.8,91,1017.9,6.8,dhaka,204,Very Unhealthy,True
2023-01-01T03:00,216.1,150.9,1220.0,76.6,23.7,8.0,2.0,0.85,17.4,84,1018.8,4.0,dhaka,201,Very Unhealthy,True
2023-01-01T04:00,207.2,144.4,1045.0,63.4,25.0,39.0,2.0,1.85,19.8,73,1019.1,5.3,dhaka,197,Unhealthy,True
2023-01-01T05:00,185.8,129.0,814.0,45.2,28.5,82.0,3.0,2.7,21.5,63,1018.6,5.7,dhaka,189,Unhealthy,True
2023-01-01T06:00,164.8,114.3,571.0,25.0,31.0,130.0,3.0,2.9,22.6,58,1017.6,5.2,dhaka,181,Unhealthy,True
2023-01-01T07:00,156.9,108.7,493.0,16.2,28.2,150.0,3.0,2.5,23.3,56,1016.4,4.7,dhaka,178,Unhealthy,True
2023-01-01T08:00,152.3,105.5,467.0,10.5,23.3,162.0,4.0,1.7,23.7,53,1015.4,4.6,dhaka,177,Unhealthy,True
2023-01-01T09:00,148.5,102.9,496.0,11.0,18.0,162.0,4.0,0.9,23.8,52,1014.7,4.8,dhaka,175,Unhealthy,True
2023-01-01T10:00,144.4,99.9,567.0,21.3,16.6,142.0,4.0,0.3,23.4,54,1014.5,5.2,dhaka,174,Unhealthy,True
2023-01-01T11:00,145.3,101.0,681.0,37.8,16.3,110.0,3.0,0.0,20.6,74,1014.5,7.3,dhaka,174,Unhealthy,True
2023-01-01T12:00,139.7,97.1,887.0,55.3,17.8,79.0,2.0,0.0,18.3,76,1015.1,8.5,dhaka,172,Unhealthy,True
2023-01-01T13:00,149.0,103.6,998.0,57.8,18.6,67.0,2.0,0.0,17.7,78,1015.7,7.6,dhaka,176,Unhealthy,True
2023-01-01T14:00,156.5,109.0,1156.0,61.4,19.7,51.0,1.0,0.0,16.9,81,1016.6,7.2,dhaka,179,Unhealthy,True
2023-01-01T15:00,162.1,112.9,1318.0,64.8,20.8,32.0,1.0,0.0,15.6,86,1016.9,8.7,dhaka,181,Unhealthy,True
2023-01-01T16:00,164.8,115.0,1353.0,65.2,21.0,25.0,1.0,0.0,15.2,88,1017.2,7.9,dhaka,182,Unhealthy,True
2023-01-01T17:00,164.8,115.0,1345.0,64.4,20.9,21.0,1.0,0.0,14.9,88,1016.7,7.0,dhaka,182,Unhealthy,True
2023-01-01T18:00,163.9,114.3,1321.0,62.2,19.9,18.0,1.0,0.0,14.2,90,1016.5,7.3,dhaka,181,Unhealthy,True
2023-01-01T19:00,165.8,115.5,1305.0,59.5,18.0,16.0,1.0,0.0,13.9,90,1016.0,7.0,dhaka,182,Unhealthy,True
2023-01-01T20:00,174.2,121.5,1281.0,56.0,15.5,16.0,1.0,0.0,13.7,91,1015.5,6.5,dhaka,185,Unhealthy,True
2023-01-01T21:00,183.0,127.6,1254.0,51.0,12.8,16.0,1.0,0.0,12.9,93,1015.1,8.7,dhaka,188,Unhealthy,True
