timestamp,pm1_0,pm2_5,pm10,cnt0_3,cnt0_5,cnt1_0,cnt2_5,mq135_adc,mq136_adc,mics_red_adc,mics_nox_adc,mp135_adc,aqi,aqi_category,is_hazard
2025-10-13T08:00,23.9,41.2,43.5,1982,576,144,31,1571,1025,2064,1268,1449,115,Unhealthy for Sensitive Groups,1
2025-10-13T09:00,23.0,39.7,41.8,1911,553,138,29,1559,1009,2047,1257,1454,111,Unhealthy for Sensitive Groups,1
2025-10-13T10:00,23.4,40.3,41.8,1925,558,142,30,1624,1010,2118,1301,1478,113,Unhealthy for Sensitive Groups,1
2025-10-13T11:00,25.1,43.3,44.4,2082,603,151,32,1726,1028,2237,1368,1543,120,Unhealthy for Sensitive Groups,1
2025-10-13T12:00,33.9,58.4,59.8,2805,809,203,43,1906,1097,2496,1503,1693,152,Unhealthy,1
2025-10-13T13:00,37.4,64.5,65.4,3088,901,226,48,2019,1122,2676,1540,1811,156,Unhealthy,1
2025-10-13T14:00,37.1,64.0,65.2,3082,899,223,47,2119,1124,2798,1546,1854,155,Unhealthy,1
2025-10-13T15:00,37.0,63.8,64.7,3050,896,224,47,2159,1118,2848,1548,1900,155,Unhealthy,1
2025-10-13T16:00,35.9,61.9,62.6,2970,872,214,46,2085,1104,2760,1505,1836,154,Unhealthy,1
2025-10-13T17:00,34.4,59.3,60.1,2849,836,207,44,1957,1098,2587,1482,1753,153,Unhealthy,1
2025-10-13T18:00,34.1,58.8,59.6,2823,827,205,44,1863,1079,2450,1468,1682,153,Unhealthy,1
2025-10-13T19:00,33.9,58.4,59.4,2800,811,203,43,1797,1084,2359,1466,1639,152,Unhealthy,1
2025-10-13T20:00,33.3,57.4,58.4,2757,803,198,43,1748,1096,2274,1435,1597,152,Unhealthy,1
2025-10-13T21:00,32.5,56.0,57.2,2676,788,196,42,1700,1085,2205,1421,1585,151,Unhealthy,1
2025-10-13T22:00,31.7,54.6,55.9,2610,762,191,40,1682,1072,2193,1411,1550,148,Unhealthy for Sensitive Groups,1
2025-10-13T23:00,31.3,53.9,55.2,2602,751,188,40,1697,1071,2235,1393,1566,146,Unhealthy for Sensitive Groups,1
2025-10-14T00:00,28.5,49.2,51.0,2364,691,170,36,1691,1053,2204,1367,1538,135,Unhealthy for Sensitive Groups,1
2025-10-14T01:00,31.6,54.4,55.9,2613,762,189,41,1749,1072,2285,1385,1598,148,Unhealthy for Sensitive Groups,1
2025-10-14T02:00,30.4,52.4,54.4,2526,730,184,39,1753,1091,2280,1371,1583,143,Unhealthy for Sensitive Groups,1
2025-10-14T03:00,27.8,48.0,50.4,2295,671,168,36,1722,1067,2259,1342,1583,132,Unhealthy for Sensitive Groups,1
2025-10-14T04:00,25.6,44.2,46.6,2127,615,153,33,1661,1053,2180,1310,1513,122,Unhealthy for Sensitive Groups,1
2025-10-14T05:00,22.8,39.3,41.1,1871,548,138,29,1579,1024,2079,1261,1463,110,Unhealthy for Sensitive Groups,1
2025-10-14T06:00,21.6,37.3,38.8,1790,517,130,28,1556,1015,2004,1239,1434,105,Unhealthy for Sensitive Groups,1
2025-10-14T07:00,20.9,36.0,37.6,1733,506,129,27,1532,1005,1991,1230,1417,102,Unhealthy for Sensitive Groups,1
2025-10-14T08:00,20.5,35.4,37.0,1691,494,123,26,1532,983,1978,1215,1399,100,Moderate,0
2025-10-14T09:00,20.6,35.6,37.3,1719,498,123,26,1537,988,1999,1239,1411,101,Unhealthy for Sensitive Groups,1
2025-10-14T10:00,21.4,36.9,38.4,1792,519,127,27,1585,1002,2072,1276,1463,104,Unhealthy for Sensitive Groups,1
2025-10-14T11:00,24.2,41.7,42.8,2010,578,145,31,1693,1027,2234,1338,1548,116,Unhealthy for Sensitive Groups,1
2025-10-14T12:00,28.3,48.8,49.6,2363,687,169,36,1838,1043,2411,1444,1633,134,Unhealthy for Sensitive Groups,1
2025-10-14T13:00,30.5,52.6,53.3,2524,723,183,39,1938,1072,2562,1452,1731,143,Unhealthy for Sensitive Groups,1
2025-10-14T14:00,30.5,52.6,53.3,2539,730,185,39,2034,1065,2715,1444,1796,143,Unhealthy for Sensitive Groups,1
2025-10-14T15:00,30.1,51.9,52.6,2487,727,182,39,2060,1072,2736,1436,1819,141,Unhealthy for Sensitive Groups,1
2025-10-14T16:00,30.4,52.4,53.2,2518,731,183,39,1994,1065,2654,1427,1772,143,Unhealthy for Sensitive Groups,1
2025-10-14T17:00,31.1,53.6,54.4,2575,753,188,39,1869,1067,2473,1433,1681,146,Unhealthy for Sensitive Groups,1
2025-10-14T18:00,31.3,54.0,54.8,2604,753,189,40,1770,1069,2325,1434,1620,147,Unhealthy for Sensitive Groups,1
2025-10-14T19:00,31.2,53.8,54.5,2582,755,187,40,1728,1062,2261,1409,1597,146,Unhealthy for Sensitive Groups,1
2025-10-14T20:00,30.9,53.3,54.0,2548,741,187,40,1718,1063,2233,1394,1569,145,Unhealthy for Sensitive Groups,1
2025-10-14T21:00,30.9,53.2,53.8,2546,748,186,39,1710,1062,2226,1387,1569,145,Unhealthy for Sensitive Groups,1
2025-10-14T22:00,31.1,53.7,54.1,2580,749,187,40,1716,1053,2245,1400,1581,146,Unhealthy for Sensitive Groups,1
2025-10-14T23:00,31.7,54.7,55.2,2640,769,191,41,1750,1068,2292,1421,1594,148,Unhealthy for Sensitive Groups,1
2025-10-15T00:00,37.9,65.4,66.1,3144,921,228,49,1869,1111,2433,1478,1690,156,Unhealthy,1
2025-10-15T01:00,41.1,70.8,71.2,3390,991,248,53,1929,1154,2500,1512,1740,159,Unhealthy,1
2025-10-15T02:00,40.1,69.2,69.6,3343,965,241,51,1905,1141,2502,1488,1738,158,Unhealthy,1
2025-10-15T03:00,36.7,63.3,63.8,3057,890,220,47,1877,1119,2468,1450,1690,155,Unhealthy,1
2025-10-15T04:00,30.9,53.2,53.9,2536,750,186,40,1753,1083,2310,1368,1601,145,Unhealthy for Sensitive Groups,1
2025-10-15T05:00,26.2,45.2,46.3,2175,628,158,33,1665,1056,2159,1293,1530,125,Unhealthy for Sensitive Groups,1
2025-10-15T06:00,25.1,43.3,44.6,2081,603,153,32,1624,1042,2127,1297,1483,120,Unhealthy for Sensitive Groups,1
2025-10-15T07:00,25.4,43.8,45.1,2112,615,154,32,1606,1047,2067,1270,1460,121,Unhealthy for Sensitive Groups,1
2025-10-15T08:00,25.6,44.1,45.4,2114,620,155,33,1607,1030,2057,1279,1475,122,Unhealthy for Sensitive Groups,1
2025-10-15T09:00,25.9,44.6,45.8,2140,616,156,33,1614,1039,2086,1290,1474,123,Unhealthy for Sensitive Groups,1
2025-10-15T10:00,26.0,44.8,45.9,2149,631,155,33,1649,1031,2158,1322,1509,124,Unhealthy for Sensitive Groups,1
2025-10-15T11:00,28.9,49.8,50.8,2378,705,174,37,1757,1054,2298,1415,1598,136,Unhealthy for Sensitive Groups,1
2025-10-15T12:00,36.6,63.1,63.8,3023,881,220,46,1911,1127,2539,1551,1732,155,Unhealthy,1
2025-10-15T13:00,39.3,67.8,68.5,3257,961,238,50,2013,1128,2659,1582,1791,157,Unhealthy,1
2025-10-15T14:00,40.9,70.5,71.2,3377,982,248,53,2100,1157,2769,1607,1874,159,Unhealthy,1
2025-10-15T15:00,43.2,74.5,75.2,3581,1038,260,55,2152,1168,2873,1629,1916,161,Unhealthy,1
2025-10-15T16:00,42.9,74.0,74.7,3545,1034,258,55,2147,1153,2833,1626,1897,161,Unhealthy,1
2025-10-15T17:00,40.9,70.5,71.2,3374,984,247,53,2071,1140,2744,1575,1851,159,Unhealthy,1
2025-10-15T18:00,39.8,68.7,69.4,3290,964,239,50,2006,1130,2656,1552,1808,158,Unhealthy,1
2025-10-15T19:00,38.7,66.8,67.5,3189,934,232,49,1954,1115,2557,1538,1750,157,Unhealthy,1
2025-10-15T20:00,37.5,64.7,65.4,3113,901,226,48,1861,1106,2464,1496,1704,156,Unhealthy,1
2025-10-15T21:00,36.9,63.6,64.5,3046,890,222,48,1839,1109,2392,1475,1665,155,Unhealthy,1
2025-10-15T22:00,37.0,63.8,64.7,3066,891,223,48,1847,1106,2412,1478,1655,155,Unhealthy,1
2025-10-15T23:00,37.8,65.2,66.4,3119,905,227,48,1886,1118,2443,1505,1678,156,Unhealthy,1
2025-10-16T00:00,40.1,69.2,70.3,3323,971,240,52,1925,1128,2517,1546,1738,158,Unhealthy,1
2025-10-16T01:00,42.5,73.3,74.3,3520,1024,255,55,1958,1157,2561,1544,1774,160,Unhealthy,1
2025-10-16T02:00,41.2,71.0,72.4,3418,991,248,52,1948,1164,2559,1500,1766,159,Unhealthy,1
2025-10-16T03:00,35.0,60.3,61.7,2907,845,212,44,1849,1120,2449,1432,1679,153,Unhealthy,1
2025-10-16T04:00,27.4,47.3,48.4,2273,657,167,35,1725,1088,2264,1338,1561,130,Unhealthy for Sensitive Groups,1
2025-10-16T05:00,26.4,45.5,46.6,2188,644,160,34,1662,1072,2176,1314,1533,126,Unhealthy for Sensitive Groups,1
2025-10-16T06:00,26.6,45.8,46.6,2181,647,160,34,1628,1073,2141,1309,1493,126,Unhealthy for Sensitive Groups,1
2025-10-16T07:00,28.5,49.1,50.1,2343,686,173,36,1631,1100,2135,1297,1513,134,Unhealthy for Sensitive Groups,1
2025-10-16T08:00,30.4,52.5,53.3,2517,737,185,39,1660,1114,2185,1334,1531,143,Unhealthy for Sensitive Groups,1
2025-10-16T09:00,31.8,54.8,55.6,2630,767,191,40,1699,1133,2211,1359,1564,149,Unhealthy for Sensitive Groups,1
2025-10-16T10:00,31.8,54.9,55.6,2632,774,189,41,1801,1119,2340,1422,1613,149,Unhealthy for Sensitive Groups,1
2025-10-16T11:00,37.7,65.0,65.4,3112,905,229,49,2001,1172,2606,1564,1781,156,Unhealthy,1
2025-10-16T12:00,38.3,66.1,66.6,3160,928,231,49,2083,1141,2738,1590,1830,156,Unhealthy,1
2025-10-16T13:00,41.2,71.0,71.7,3414,996,248,53,2109,1158,2794,1598,1884,159,Unhealthy,1
2025-10-16T14:00,41.6,71.7,72.4,3434,998,249,53,2077,1160,2727,1611,1856,159,Unhealthy,1
2025-10-16T15:00,39.8,68.7,69.4,3296,959,240,51,2023,1133,2647,1573,1798,158,Unhealthy,1
2025-10-16T16:00,39.4,68.0,68.7,3267,945,236,51,1947,1125,2547,1584,1746,157,Unhealthy,1
2025-10-16T17:00,42.1,72.6,73.6,3477,1017,253,54,1894,1149,2489,1627,1739,160,Unhealthy,1
2025-10-16T18:00,45.2,78.0,78.7,3760,1096,271,58,1891,1165,2463,1658,1732,163,Unhealthy,1
2025-10-16T19:00,41.1,70.8,71.2,3390,988,246,52,1806,1135,2365,1600,1686,159,Unhealthy,1
2025-10-16T20:00,39.7,68.5,68.9,3292,959,238,51,1792,1139,2355,1571,1657,158,Unhealthy,1
2025-10-16T21:00,41.1,70.8,71.2,3391,991,249,52,1837,1161,2358,1577,1677,159,Unhealthy,1
2025-10-16T22:00,41.7,71.9,72.4,3457,1000,250,53,1848,1177,2401,1577,1692,159,Unhealthy,1
2025-10-16T23:00,42.8,73.8,74.3,3548,1035,259,55,1894,1195,2440,1620,1722,160,Unhealthy,1
2025-10-17T00:00,51.7,89.2,89.9,4284,1243,311,67,2037,1230,2645,1708,1852,168,Unhealthy,1
2025-10-17T01:00,55.2,95.2,95.9,4564,1333,332,71,2103,1280,2731,1733,1894,171,Unhealthy,1
2025-10-17T02:00,48.9,84.3,85.2,4044,1178,296,63,2045,1265,2656,1636,1838,166,Unhealthy,1
2025-10-17T03:00,42.8,73.8,75.0,3553,1031,259,56,1953,1253,2568,1552,1762,160,Unhealthy,1
2025-10-17T04:00,37.0,63.8,65.2,3058,892,221,47,1845,1205,2418,1459,1692,155,Unhealthy,1
2025-10-17T05:00,35.4,61.0,62.2,2918,857,213,45,1797,1171,2338,1421,1638,154,Unhealthy,1
2025-10-17T06:00,35.0,60.3,61.2,2897,854,210,45,1752,1154,2279,1410,1620,153,Unhealthy,1
2025-10-17T07:00,34.5,59.4,60.3,2845,828,208,44,1742,1146,2241,1396,1607,153,Unhealthy,1
2025-10-17T08:00,33.6,57.9,58.4,2773,809,202,43,1726,1146,2235,1362,1569,152,Unhealthy,1
2025-10-17T09:00,32.8,56.6,57.0,2709,792,199,42,1725,1124,2253,1394,1575,152,Unhealthy,1
2025-10-17T10:00,31.8,54.9,55.5,2630,772,192,41,1746,1110,2277,1416,1597,149,Unhealthy for Sensitive Groups,1
2025-10-17T11:00,35.7,61.5,61.9,2957,865,216,46,1848,1132,2409,1519,1663,154,Unhealthy,1
2025-10-17T12:00,49.4,85.2,85.9,4093,1191,298,64,2094,1239,2719,1720,1883,166,Unhealthy,1
2025-10-17T13:00,60.8,104.8,105.5,5052,1465,367,78,2356,1315,3069,1857,2082,176,Unhealthy,1
2025-10-17T14:00,64.1,110.6,111.3,5304,1549,388,82,2497,1333,3291,1901,2190,179,Unhealthy,1
2025-10-17T15:00,60.5,104.3,105.0,5010,1466,364,78,2512,1302,3269,1886,2182,176,Unhealthy,1
2025-10-17T16:00,60.8,104.8,105.5,5020,1470,367,78,2440,1315,3228,1857,2169,176,Unhealthy,1
2025-10-17T17:00,57.9,99.9,100.6,4784,1392,348,74,2306,1286,3020,1772,2057,174,Unhealthy,1
2025-10-17T18:00,42.5,73.3,73.8,3517,1030,256,55,2009,1183,2631,1592,1801,160,Unhealthy,1
2025-10-17T19:00,37.1,64.0,64.0,3079,895,225,47,1905,1143,2459,1499,1701,155,Unhealthy,1
2025-10-17T20:00,37.0,63.8,64.0,3070,890,222,47,1865,1129,2426,1481,1697,155,Unhealthy,1
2025-10-17T21:00,39.3,67.8,68.0,3258,945,237,50,1885,1170,2481,1485,1715,157,Unhealthy,1
2025-10-17T22:00,41.1,70.8,71.0,3400,983,247,52,1924,1173,2540,1517,1740,159,Unhealthy,1
2025-10-17T23:00,42.3,72.9,73.1,3504,1026,256,54,1970,1190,2586,1548,1783,160,Unhealthy,1
2025-10-18T00:00,49.4,85.2,85.7,4100,1190,299,63,2104,1219,2743,1647,1869,166,Unhealthy,1
2025-10-18T01:00,50.5,87.1,87.5,4175,1218,305,65,2086,1257,2748,1659,1882,167,Unhealthy,1
2025-10-18T02:00,52.0,89.6,90.1,4301,1254,314,66,2083,1293,2719,1648,1875,169,Unhealthy,1
2025-10-18T03:00,46.6,80.3,81.0,3870,1119,279,60,1991,1295,2575,1577,1793,164,Unhealthy,1
2025-10-18T04:00,34.5,59.5,60.1,2854,836,208,44,1794,1197,2317,1426,1629,153,Unhealthy,1
2025-10-18T05:00,29.7,51.2,51.6,2460,714,178,38,1688,1129,2182,1357,1518,140,Unhealthy for Sensitive Groups,1
2025-10-18T06:00,27.4,47.3,47.6,2281,655,165,35,1610,1093,2103,1315,1494,130,Unhealthy for Sensitive Groups,1
2025-10-18T07:00,25.2,43.5,43.8,2092,609,150,32,1574,1050,2047,1290,1466,121,Unhealthy for Sensitive Groups,1
2025-10-18T08:00,23.4,40.3,40.5,1930,562,140,30,1553,1044,2027,1256,1434,113,Unhealthy for Sensitive Groups,1
2025-10-18T09:00,22.3,38.4,38.6,1841,537,134,29,1544,1036,2010,1261,1413,108,Unhealthy for Sensitive Groups,1
2025-10-18T10:00,21.9,37.8,38.1,1823,530,133,27,1583,1028,2055,1305,1448,107,Unhealthy for Sensitive Groups,1
2025-10-18T11:00,28.7,49.5,49.6,2365,690,175,37,1700,1085,2222,1465,1555,135,Unhealthy for Sensitive Groups,1
2025-10-18T12:00,36.3,62.6,62.9,3028,876,219,47,1841,1130,2397,1574,1677,155,Unhealthy,1
2025-10-18T13:00,46.2,79.6,79.9,3809,1115,277,59,1984,1195,2584,1731,1795,163,Unhealthy,1
2025-10-18T14:00,54.2,93.4,93.6,4480,1311,328,69,2100,1256,2721,1857,1890,171,Unhealthy,1
2025-10-18T15:00,55.9,96.4,96.6,4628,1348,337,71,2109,1273,2746,1882,1896,172,Unhealthy,1
2025-10-18T16:00,54.4,93.8,94.1,4496,1307,329,70,2091,1263,2734,1861,1873,171,Unhealthy,1
2025-10-18T17:00,52.0,89.6,89.6,4323,1248,311,67,2076,1234,2679,1813,1866,169,Unhealthy,1
2025-10-18T18:00,50.5,87.1,87.5,4188,1220,304,65,2027,1209,2627,1769,1831,167,Unhealthy,1
2025-10-18T19:00,52.8,91.0,91.5,4356,1274,319,68,2051,1219,2690,1779,1864,169,Unhealthy,1
2025-10-18T20:00,54.8,94.5,94.8,4541,1319,330,70,2088,1241,2702,1811,1891,171,Unhealthy,1
2025-10-18T21:00,56.7,97.8,98.0,4699,1370,343,73,2128,1256,2774,1825,1923,173,Unhealthy,1
2025-10-18T22:00,55.5,95.7,95.9,4586,1337,333,72,2143,1244,2796,1815,1932,172,Unhealthy,1
2025-10-18T23:00,55.2,95.2,95.5,4582,1330,333,71,2214,1242,2872,1803,1968,171,Unhealthy,1
2025-10-19T00:00,63.3,109.2,109.4,5239,1528,382,81,2340,1310,3037,1880,2078,179,Unhealthy,1
2025-10-19T01:00,60.8,104.8,104.8,5056,1463,368,79,2270,1305,2982,1832,2030,176,Unhealthy,1
2025-10-19T02:00,46.2,79.6,79.9,3814,1110,277,59,2025,1227,2646,1629,1825,163,Unhealthy,1
2025-10-19T03:00,34.4,59.3,59.4,2854,822,207,44,1805,1177,2375,1474,1647,153,Unhealthy,1
2025-10-19T04:00,22.7,39.2,39.5,1887,549,137,29,1612,1065,2105,1315,1470,110,Unhealthy for Sensitive Groups,1
2025-10-19T05:00,18.2,31.3,31.5,1514,442,110,23,1501,1022,1965,1258,1394,91,Moderate,0
2025-10-19T06:00,16.5,28.5,28.7,1369,397,99,21,1457,988,1884,1188,1336,85,Moderate,0
2025-10-19T07:00,15.5,26.7,27.0,1286,369,91,20,1446,967,1866,1172,1329,82,Moderate,0
2025-10-19T08:00,15.1,26.0,26.3,1257,362,91,19,1417,969,1852,1155,1331,80,Moderate,0
2025-10-19T09:00,14.9,25.7,26.0,1224,359,89,19,1436,962,1877,1193,1337,80,Moderate,0
2025-10-19T10:00,15.5,26.8,27.1,1286,369,92,20,1457,968,1912,1259,1355,82,Moderate,0
2025-10-19T11:00,25.1,43.3,43.5,2083,606,149,32,1625,1031,2128,1459,1503,120,Unhealthy for Sensitive Groups,1
2025-10-19T12:00,36.6,63.1,63.3,3026,889,220,47,1821,1131,2376,1647,1661,155,Unhealthy,1
2025-10-19T13:00,50.1,86.4,86.6,4147,1211,303,65,2060,1214,2710,1823,1863,167,Unhealthy,1
2025-10-19T14:00,60.8,104.8,104.8,5018,1459,367,78,2284,1292,2981,2013,2030,176,Unhealthy,1
2025-10-19T15:00,68.2,117.6,117.8,5646,1646,412,88,2436,1368,3189,2128,2160,183,Unhealthy,1
2025-10-19T16:00,73.2,126.2,126.2,6053,1763,441,95,2528,1381,3330,2175,2241,188,Unhealthy,1
2025-10-19T17:00,73.5,126.7,126.7,6091,1771,445,95,2548,1398,3327,2159,2259,188,Unhealthy,1
2025-10-19T18:00,66.6,114.8,115.0,5523,1613,401,85,2451,1329,3220,2051,2163,182,Unhealthy,1
2025-10-19T19:00,59.2,102.0,102.0,4897,1422,356,76,2298,1276,3017,1953,2054,175,Unhealthy,1
2025-10-19T20:00,50.6,87.3,87.5,4200,1219,304,65,2123,1224,2790,1825,1907,167,Unhealthy,1
2025-10-19T21:00,44.8,77.3,77.5,3732,1079,271,57,2003,1196,2617,1734,1811,162,Unhealthy,1
2025-10-19T22:00,40.9,70.5,70.5,3380,983,245,52,1952,1153,2526,1661,1750,159,Unhealthy,1
2025-10-19T23:00,38.2,65.9,66.1,3171,926,230,49,1906,1139,2506,1617,1725,156,Unhealthy,1
2025-10-20T00:00,42.0,72.4,73.3,3481,1018,253,53,1959,1175,2549,1687,1774,160,Unhealthy,1
2025-10-20T01:00,40.0,68.9,69.8,3307,965,242,51,1935,1176,2482,1629,1733,158,Unhealthy,1
2025-10-20T02:00,37.8,65.2,65.2,3142,915,228,48,1864,1162,2429,1553,1704,156,Unhealthy,1
2025-10-20T03:00,31.6,54.5,54.6,2619,758,191,41,1751,1127,2293,1431,1605,148,Unhealthy for Sensitive Groups,1
2025-10-20T04:00,22.2,38.2,38.4,1832,536,132,28,1597,1050,2098,1302,1463,108,Unhealthy for Sensitive Groups,1
2025-10-20T05:00,17.5,30.2,30.4,1458,417,103,22,1499,1001,1970,1225,1380,89,Moderate,0
2025-10-20T06:00,15.2,26.2,26.4,1273,374,93,20,1438,978,1872,1182,1325,81,Moderate,0
2025-10-20T07:00,14.1,24.3,24.6,1166,339,84,18,1411,961,1844,1154,1309,77,Moderate,0
2025-10-20T08:00,13.4,23.1,23.3,1101,315,80,17,1407,955,1808,1167,1313,74,Moderate,0
