timestamp,location,pm1_0,pm2_5,pm10,cnt0_3,cnt0_5,cnt1_0,cnt2_5,cnt5_0,cnt10_0,mq135_adc,mq136_adc,mics_red_adc,mics_nox_adc,mp135_adc,temperature,humidity,aqi,aqi_category,is_hazard
2023-01-01T00:00,dhaka,94.8,163.4,234.7,7850,2286,572,123,29,6,2780,1611,3628,2244,2465,11.9,95.0,214,Very Unhealthy,1
2023-01-01T01:00,dhaka,91.6,157.9,225.8,7587,2208,551,118,28,6,2716,1561,3542,2196,2432,12.7,95.0,208,Very Unhealthy,1
2023-01-01T02:00,dhaka,88.9,153.2,219.3,7339,2137,538,114,27,6,2692,1522,3487,2179,2380,14.8,91.0,204,Very Unhealthy,1
2023-01-01T03:00,dhaka,87.5,150.9,216.1,7248,2109,527,112,27,6,2668,1504,3423,2155,2347,17.4,84.0,201,Very Unhealthy,1
2023-01-01T04:00,dhaka,83.8,144.4,207.2,6934,2011,503,108,25,5,2563,1485,3308,2064,2270,19.8,73.0,197,Unhealthy,1
2023-01-01T05:00,dhaka,74.8,129.0,185.8,6181,1803,453,96,23,5,2359,1439,3070,1911,2144,21.5,63.0,189,Unhealthy,1
2023-01-01T06:00,dhaka,66.3,114.3,164.8,5501,1604,398,85,20,4,2204,1396,2837,1763,1984,22.6,58.0,181,Unhealthy,1
2023-01-01T07:00,dhaka,63.0,108.7,156.9,5199,1525,382,81,19,4,2147,1357,2751,1706,1958,23.3,56.0,178,Unhealthy,1
2023-01-01T08:00,dhaka,61.2,105.5,152.3,5063,1484,365,79,18,4,2106,1318,2719,1648,1914,23.7,53.0,177,Unhealthy,1
2023-01-01T09:00,dhaka,59.7,102.9,148.5,4944,1447,359,76,18,4,2087,1295,2706,1647,1908,23.8,52.0,175,Unhealthy,1
2023-01-01T10:00,dhaka,57.9,99.9,144.4,4796,1403,348,74,17,3,2081,1258,2701,1669,1893,23.4,54.0,174,Unhealthy,1
2023-01-01T11:00,dhaka,58.6,101.0,145.3,4844,1406,352,75,18,4,2113,1271,2753,1742,1922,20.6,74.0,174,Unhealthy,1
2023-01-01T12:00,dhaka,56.3,97.1,139.7,4664,1359,336,72,17,3,2140,1283,2779,1760,1927,18.3,76.0,172,Unhealthy,1
2023-01-01T13:00,dhaka,60.1,103.6,149.0,4955,1456,363,78,18,4,2209,1304,2868,1809,2013,17.7,78.0,176,Unhealthy,1
2023-01-01T14:00,dhaka,63.2,109.0,156.5,5217,1523,381,81,19,4,2283,1320,2981,1852,2046,16.9,81.0,179,Unhealthy,1
2023-01-01T15:00,dhaka,65.5,112.9,162.1,5442,1576,394,85,20,4,2357,1341,3105,1868,2111,15.6,86.0,181,Unhealthy,1
2023-01-01T16:00,dhaka,66.7,115.0,164.8,5523,1613,400,85,20,4,2399,1351,3126,1899,2123,15.2,88.0,182,Unhealthy,1
2023-01-01T17:00,dhaka,66.7,115.0,164.8,5523,1611,401,86,20,4,2397,1339,3128,1885,2137,14.9,88.0,182,Unhealthy,1
2023-01-01T18:00,dhaka,66.3,114.3,163.9,5503,1596,401,85,20,4,2389,1356,3102,1875,2111,14.2,90.0,181,Unhealthy,1
2023-01-01T19:00,dhaka,67.0,115.5,165.8,5531,1616,404,86,20,4,2395,1338,3129,1879,2153,13.9,90.0,182,Unhealthy,1
2023-01-01T20:00,dhaka,70.5,121.5,174.2,5841,1696,423,91,21,4,2427,1357,3169,1905,2155,13.7,91.0,185,Unhealthy,1
2023-01-01T21:00,dhaka,74.0,127.6,183.0,6102,1784,447,95,22,5,2459,1366,3219,1919,2203,12.9,93.0,188,Unhealthy,1
2023-01-01T22:00,dhaka,75.9,130.9,187.7,6284,1826,458,98,23,5,2506,1382,3227,1926,2228,12.7,93.0,190,Unhealthy,1
2023-01-01T23:00,dhaka,76.2,131.3,188.6,6310,1840,465,98,23,5,2507,1382,3252,1921,2232,12.5,93.0,190,Unhealthy,1
2023-01-02T00:00,dhaka,62.8,108.3,155.1,5186,1515,378,81,19,4,2282,1259,2945,1744,2021,12.5,94.0,178,Unhealthy,1
2023-01-02T01:00,dhaka,63.5,109.4,156.9,5267,1531,381,81,19,4,2280,1267,2959,1767,2031,12.5,95.0,179,Unhealthy,1
2023-01-02T02:00,dhaka,61.8,106.6,152.7,5148,1495,370,80,19,4,2252,1262,2930,1751,2029,15.3,87.0,177,Unhealthy,1
2023-01-02T03:00,dhaka,57.7,99.4,142.5,4784,1385,347,74,17,3,2187,1237,2861,1691,1977,18.2,81.0,174,Unhealthy,1
2023-01-02T04:00,dhaka,48.0,82.7,119.0,4001,1162,287,61,14,3,2036,1155,2641,1589,1816,20.5,73.0,165,Unhealthy,1
2023-01-02T05:00,dhaka,41.5,71.5,103.1,3431,984,248,53,12,2,1869,1139,2430,1482,1712,22.0,65.0,159,Unhealthy,1
2023-01-02T06:00,dhaka,39.6,68.2,99.0,3295,947,240,51,12,2,1789,1124,2336,1431,1650,23.1,60.0,158,Unhealthy,1
2023-01-02T07:00,dhaka,38.7,66.8,98.0,3200,935,234,50,12,2,1758,1130,2270,1415,1633,23.9,55.0,157,Unhealthy,1
2023-01-02T08:00,dhaka,39.0,67.3,99.2,3234,939,235,50,12,2,1763,1116,2295,1407,1636,24.4,50.0,157,Unhealthy,1
2023-01-02T09:00,dhaka,39.1,67.5,100.4,3244,949,237,50,12,2,1775,1111,2314,1426,1636,24.4,46.0,157,Unhealthy,1
2023-01-02T10:00,dhaka,39.1,67.5,100.4,3259,942,237,50,12,2,1802,1115,2352,1471,1665,23.6,52.0,157,Unhealthy,1
2023-01-02T11:00,dhaka,43.6,75.2,110.1,3609,1056,262,56,13,3,1901,1141,2480,1556,1752,20.7,65.0,161,Unhealthy,1
